TxHash,BlockNumber,UnixTimestamp,FromAddress,ToAddress,TokenContractAddress,Type,TokenSymbol,TokensTransferred,TransactionFee,Status,ErrCode
0x79c194ff2c6f55ef11711e5bb658ba2ae422481567b792f395c4d0449efab830,1167261,2022-06-04 07:30:54.000000Z,0x50414ac6431279824df9968855181474c919a94b,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,0xffffffffffffffffffffffffffffffffffffffff,IN,DOT,1000000,313702532320000,ok,
0xd729bdd14cd3c701b2eeae625ff330bf9656f4321e026798eace329355a0b09f,1167291,2022-06-04 07:37:18.000000Z,0x50414ac6431279824df9968855181474c919a94b,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,0xffffffffffffffffffffffffffffffffffffffff,IN,DOT,1000000,1696177588200000,ok,
0xd729bdd14cd3c701b2eeae625ff330bf9656f4321e026798eace329355a0b09f,1167291,2022-06-04 07:37:18.000000Z,0x0000000000000000000000000000000000000000,0x50414ac6431279824df9968855181474c919a94b,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,,lDOT,1000000,1696177588200000,ok,
0xa87d03e193baeeb135ffb7a7170165abf78d6f6bee7abc0007ca98ca71a449ab,1167375,2022-06-04 07:55:30.000000Z,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,0x50414ac6431279824df9968855181474c919a94b,0xffffffffffffffffffffffffffffffffffffffff,OUT,DOT,10000,2568750723036000,ok,
0x8bf2306a090d6ff85734572556740899375812c12d5279caf9c1664ab1593efc,1167396,2022-06-04 07:59:54.000000Z,0x3ff1ad046cf6b5f5fc035b909e0e4482186b8354,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,0xffffffffffffffffffffffffffffffffffffffff,IN,DOT,21574223934,2128150000000000,ok,
0x8bf2306a090d6ff85734572556740899375812c12d5279caf9c1664ab1593efc,1167396,2022-06-04 07:59:54.000000Z,0x0000000000000000000000000000000000000000,0x3ff1ad046cf6b5f5fc035b909e0e4482186b8354,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,,lDOT,21574223934,2128150000000000,ok,
0xf6090739504ee839911ed7335c0a9af9fd64a108f5d0cf8e6bfbe34c99e335a5,1167398,2022-06-04 08:00:18.000000Z,0x50414ac6431279824df9968855181474c919a94b,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,0xffffffffffffffffffffffffffffffffffffffff,IN,DOT,10000,1055789701800000,ok,
0x003bc3b3690669f1f80edb42d77ec21aee9ab9c8d2b1deeafc4b88488accccd2,1167401,2022-06-04 08:00:54.000000Z,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,0x3ff1ad046cf6b5f5fc035b909e0e4482186b8354,0xffffffffffffffffffffffffffffffffffffffff,OUT,DOT,21576000000,6256690000000000,ok,
0xae14fbdd356170c4fbc9ca671f150a1ff81e6f6ec662aabd06c73c46b3e58b49,1167406,2022-06-04 08:01:54.000000Z,0x0000000000000000000000000000000000000000,0xa3c143bf757c0d538143a4757032e64aed239df0,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,,lDOT,8785,2498530000000000,ok,
0xae14fbdd356170c4fbc9ca671f150a1ff81e6f6ec662aabd06c73c46b3e58b49,1167406,2022-06-04 08:01:54.000000Z,0x3ff1ad046cf6b5f5fc035b909e0e4482186b8354,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,0xffffffffffffffffffffffffffffffffffffffff,IN,DOT,20000000000,2498530000000000,ok,
0x472b10e394507304d697c07216dc0e41be22d61e32ec525ed2020089ab7c4715,1167417,2022-06-04 08:04:06.000000Z,0x0000000000000000000000000000000000000000,0xa3c143bf757c0d538143a4757032e64aed239df0,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,,lDOT,10,4082460000000000,ok,
0x472b10e394507304d697c07216dc0e41be22d61e32ec525ed2020089ab7c4715,1167417,2022-06-04 08:04:06.000000Z,0x50414ac6431279824df9968855181474c919a94b,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,0xffffffffffffffffffffffffffffffffffffffff,IN,DOT,100,4082460000000000,ok,
0x472b10e394507304d697c07216dc0e41be22d61e32ec525ed2020089ab7c4715,1167417,2022-06-04 08:04:06.000000Z,0x0000000000000000000000000000000000000000,0x50414ac6431279824df9968855181474c919a94b,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,,lDOT,100,4082460000000000,ok,
0xf7597fbf8d92333086384e2d42cbbc21bdd578dcf4f707cf078bb7c4865c818b,1167581,2022-06-04 08:39:00.000000Z,0x0000000000000000000000000000000000000000,0xa3c143bf757c0d538143a4757032e64aed239df0,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,,lDOT,165,22169010000000000,ok,
0xf7597fbf8d92333086384e2d42cbbc21bdd578dcf4f707cf078bb7c4865c818b,1167581,2022-06-04 08:39:00.000000Z,0x22d21bb7f1d2b2b129a8a0719a885a66765950f4,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,0xffffffffffffffffffffffffffffffffffffffff,IN,DOT,1000000000,22169010000000000,ok,
0xf7597fbf8d92333086384e2d42cbbc21bdd578dcf4f707cf078bb7c4865c818b,1167581,2022-06-04 08:39:00.000000Z,0x0000000000000000000000000000000000000000,0x3ff1ad046cf6b5f5fc035b909e0e4482186b8354,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,,lDOT,1000000000,22169010000000000,ok,
0xf7597fbf8d92333086384e2d42cbbc21bdd578dcf4f707cf078bb7c4865c818b,1167581,2022-06-04 08:39:00.000000Z,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,0x22d21bb7f1d2b2b129a8a0719a885a66765950f4,0xffffffffffffffffffffffffffffffffffffffff,OUT,DOT,649100000,22169010000000000,ok,
0xf7597fbf8d92333086384e2d42cbbc21bdd578dcf4f707cf078bb7c4865c818b,1167581,2022-06-04 08:39:00.000000Z,0x22d21bb7f1d2b2b129a8a0719a885a66765950f4,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,0xffffffffffffffffffffffffffffffffffffffff,IN,DOT,649100000,22169010000000000,ok,
0xf7597fbf8d92333086384e2d42cbbc21bdd578dcf4f707cf078bb7c4865c818b,1167581,2022-06-04 08:39:00.000000Z,0x0000000000000000000000000000000000000000,0x3ff1ad046cf6b5f5fc035b909e0e4482186b8354,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,,lDOT,649100000,22169010000000000,ok,
0xf7597fbf8d92333086384e2d42cbbc21bdd578dcf4f707cf078bb7c4865c818b,1167581,2022-06-04 08:39:00.000000Z,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,0x22d21bb7f1d2b2b129a8a0719a885a66765950f4,0xffffffffffffffffffffffffffffffffffffffff,OUT,DOT,421330810,22169010000000000,ok,
0xf7597fbf8d92333086384e2d42cbbc21bdd578dcf4f707cf078bb7c4865c818b,1167581,2022-06-04 08:39:00.000000Z,0x22d21bb7f1d2b2b129a8a0719a885a66765950f4,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,0xffffffffffffffffffffffffffffffffffffffff,IN,DOT,421330810,22169010000000000,ok,
0xf7597fbf8d92333086384e2d42cbbc21bdd578dcf4f707cf078bb7c4865c818b,1167581,2022-06-04 08:39:00.000000Z,0x0000000000000000000000000000000000000000,0x3ff1ad046cf6b5f5fc035b909e0e4482186b8354,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,,lDOT,421330810,22169010000000000,ok,
0xf7597fbf8d92333086384e2d42cbbc21bdd578dcf4f707cf078bb7c4865c818b,1167581,2022-06-04 08:39:00.000000Z,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,0x22d21bb7f1d2b2b129a8a0719a885a66765950f4,0xffffffffffffffffffffffffffffffffffffffff,OUT,DOT,273485828,22169010000000000,ok,
0xf7597fbf8d92333086384e2d42cbbc21bdd578dcf4f707cf078bb7c4865c818b,1167581,2022-06-04 08:39:00.000000Z,0x22d21bb7f1d2b2b129a8a0719a885a66765950f4,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,0xffffffffffffffffffffffffffffffffffffffff,IN,DOT,273485828,22169010000000000,ok,
0xf7597fbf8d92333086384e2d42cbbc21bdd578dcf4f707cf078bb7c4865c818b,1167581,2022-06-04 08:39:00.000000Z,0x0000000000000000000000000000000000000000,0x3ff1ad046cf6b5f5fc035b909e0e4482186b8354,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,,lDOT,273485828,22169010000000000,ok,
0xf7597fbf8d92333086384e2d42cbbc21bdd578dcf4f707cf078bb7c4865c818b,1167581,2022-06-04 08:39:00.000000Z,0x86eaded1f56ad656657b90d60483e1d0a5f7c20b,0x22d21bb7f1d2b2b129a8a0719a885a66765950f4,0xffffffffffffffffffffffffffffffffffffffff,OUT,DOT,177519650,22169010000000000,ok,
